agency_cd,site_no,lake_name,site_loc
USGS,7227900,Lake Meredith,"Sanford, TX"
USGS,8017400,Lake Tawakoni,"Wills Point, TX"
USGS,8018800,Lake Fork Reservoir,"Quitman, TX"
USGS,8025350,Toledo Bend Reservoir,"Burkeville, TX"
USGS,8031400,Lake Palestine,"Frankston, TX"
USGS,8039300,Sam Rayburn Reservoir,"Jasper, TX"
USGS,8052800,Lewisville Lake,"Lewisville, TX"
USGS,8060500,Lavon Lake,"Lavon, TX"
USGS,8061550,Lake Ray Hubbard,"Forney, TX"
USGS,8063010,Cedar Creek Reservoir,"Trinidad, TX"
USGS,8064550,Richland-Chambers Reservoir,"Kerens, TX"
USGS,8066190,Livingston Reservoir,"Goodrich, TX"
USGS,8067600,Lake Conroe,"Conroe, TX"
USGS,8088500,Possum Kingdom Lake,"Graford, TX"
USGS,8092500,Whitney Lake,"Whitney, TX"
USGS,8102000,Belton Lake,"Belton, TX"
USGS,8136600,O.H. Ivie Reservoir,"Voss, TX"
USGS,8167700,Canyon Lake,"New Braunfels, TX"
USGS,8206900,Choke Canyon Reservoir,"Three Rivers, TX"
