agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,7227900,62614,131778,2000,10,2899.728
USGS,7227900,62614,131778,2000,11,2900.714
USGS,7227900,62614,131778,2000,12,2900.287
USGS,7227900,62614,131778,2001,1,2900.105
USGS,7227900,62614,131778,2001,2,2900.254
USGS,7227900,62614,131778,2001,3,2900.668
USGS,7227900,62614,131778,2001,4,2900.909
USGS,7227900,62614,131778,2001,5,2900.415
USGS,7227900,62614,131778,2001,6,2899.672
USGS,7227900,62614,131778,2001,7,2897.934
USGS,7227900,62614,131778,2001,8,2896.208
USGS,7227900,62614,131778,2001,9,2894.68
USGS,7227900,62614,131778,2001,10,2893.027
USGS,7227900,62614,131778,2001,11,2891.94
USGS,7227900,62614,131778,2001,12,2891.045
USGS,7227900,62614,131778,2002,1,2890.38
USGS,7227900,62614,131778,2002,2,2889.891
USGS,7227900,62614,131778,2002,3,2889.109
USGS,7227900,62614,131778,2002,4,2888.529
USGS,7227900,62614,131778,2002,5,2887.531
USGS,7227900,62614,131778,2002,7,2885.427
USGS,7227900,62614,131778,2002,8,2884.556
USGS,7227900,62614,131778,2002,9,2883.872
USGS,7227900,62614,131778,2002,10,2883.362
USGS,7227900,62614,131778,2002,11,2883.092
USGS,7227900,62614,131778,2002,12,2882.643
USGS,7227900,62614,131778,2003,1,2882.253
USGS,7227900,62614,131778,2003,2,2881.707
USGS,7227900,62614,131778,2003,3,2881.167
USGS,7227900,62614,131778,2003,4,2880.293
USGS,7227900,62614,131778,2003,6,2878.556
USGS,7227900,62614,131778,2003,7,2878.316
USGS,7227900,62614,131778,2003,8,2876.282
USGS,7227900,62614,131778,2003,9,2875.649
USGS,7227900,62614,131778,2003,10,2875.013
USGS,7227900,62614,131778,2003,11,2874.045
USGS,7227900,62614,131778,2003,12,2873.185
USGS,7227900,62614,131778,2004,1,2872.708
USGS,7227900,62614,131778,2004,2,2872.388
USGS,7227900,62614,131778,2004,3,2872.656
USGS,7227900,62614,131778,2004,4,2873.089
USGS,7227900,62614,131778,2004,5,2872.822
USGS,7227900,62614,131778,2004,6,2872.051
USGS,7227900,62614,131778,2004,7,2873.751
USGS,7227900,62614,131778,2004,8,2874.448
USGS,7227900,62614,131778,2004,9,2875.036
USGS,7227900,62614,131778,2004,10,2875.815
USGS,7227900,62614,131778,2004,11,2876.159
USGS,7227900,62614,131778,2004,12,2877.574
USGS,7227900,62614,131778,2005,1,2878.333
USGS,7227900,62614,131778,2005,2,2878.89
USGS,7227900,62614,131778,2005,3,2879.066
USGS,7227900,62614,131778,2005,4,2878.986
USGS,7227900,62614,131778,2005,5,2878.515
USGS,7227900,62614,131778,2005,6,2879.656
USGS,7227900,62614,131778,2005,7,2879.456
USGS,7227900,62614,131778,2005,8,2878.127
USGS,7227900,62614,131778,2005,9,2877.483
USGS,7227900,62614,131778,2005,10,2876.339
USGS,7227900,62614,131778,2005,11,2875.37
USGS,7227900,62614,131778,2005,12,2874.602
USGS,7227900,62614,131778,2006,1,2874.007
USGS,7227900,62614,131778,2006,2,2873.336
USGS,7227900,62614,131778,2006,3,2872.65
USGS,7227900,62614,131778,2006,4,2871.819
USGS,7227900,62614,131778,2006,5,2870.692
USGS,7227900,62614,131778,2006,6,2869.025
USGS,7227900,62614,131778,2006,7,2867.962
USGS,7227900,62614,131778,2006,8,2867.016
USGS,7227900,62614,131778,2006,9,2867.96
USGS,7227900,62614,131778,2006,10,2867.785
USGS,7227900,62614,131778,2006,11,2867.284
USGS,7227900,62614,131778,2006,12,2866.817
USGS,7227900,62614,131778,2007,1,2867.244
USGS,7227900,62614,131778,2007,2,2867.415
USGS,7227900,62614,131778,2007,3,2867.31
USGS,7227900,62614,131778,2007,4,2868.794
USGS,7227900,62614,131778,2007,5,2868.859
USGS,7227900,62614,131778,2007,6,2868.975
USGS,7227900,62614,131778,2007,7,2868.304
USGS,7227900,62614,131778,2007,8,2867.191
USGS,7227900,62614,131778,2007,9,2866.132
USGS,7227900,62614,131778,2007,12,2863.802
USGS,7227900,62614,131778,2008,1,2863.428
USGS,7227900,62614,131778,2008,2,2862.941
USGS,7227900,62614,131778,2008,3,2862.4
USGS,7227900,62614,131778,2008,4,2861.727
USGS,7227900,62614,131778,2008,5,2860.73
USGS,7227900,62614,131778,2008,6,2859.277
USGS,7227900,62614,131778,2008,7,2859.045
USGS,7227900,62614,131778,2008,9,2863.805
USGS,7227900,62614,131778,2008,10,2864.496
USGS,7227900,62614,131778,2008,11,2866.496
USGS,7227900,62614,131778,2008,12,2866.329
USGS,7227900,62614,131778,2009,1,2866.033
USGS,7227900,62614,131778,2009,2,2865.759
USGS,7227900,62614,131778,2009,3,2865.279
USGS,7227900,62614,131778,2009,4,2864.75
USGS,7227900,62614,131778,2009,5,2864.265
USGS,7227900,62614,131778,2009,6,2863.027
USGS,7227900,62614,131778,2009,7,2861.619
USGS,7227900,62614,131778,2009,8,2861.187
USGS,7227900,62614,131778,2009,9,2860.753
USGS,7227900,62614,131778,2009,10,2859.816
USGS,7227900,62614,131778,2009,11,2859.249
USGS,7227900,62614,131778,2009,12,2858.654
USGS,7227900,62614,131778,2010,1,2858.097
USGS,7227900,62614,131778,2010,2,2858.444
USGS,7227900,62614,131778,2010,3,2859.121
USGS,7227900,62614,131778,2010,4,2859.033
USGS,7227900,62614,131778,2010,5,2858.822
USGS,7227900,62614,131778,2010,6,2857.797
USGS,7227900,62614,131778,2010,7,2856.747
USGS,7227900,62614,131778,2010,8,2855.404
USGS,7227900,62614,131778,2010,9,2854.089
USGS,7227900,62614,131778,2010,10,2852.729
USGS,7227900,62614,131778,2010,11,2851.815
USGS,7227900,62614,131778,2010,12,2851.369
USGS,7227900,62614,131778,2011,1,2851.303
USGS,7227900,62614,131778,2011,2,2851.268
USGS,7227900,62614,131778,2011,3,2851.298
USGS,7227900,62614,131778,2011,4,2850.923
USGS,7227900,62614,131778,2011,5,2850.279
USGS,7227900,62614,131778,2011,6,2849.134
USGS,7227900,62614,131778,2011,7,2846.916
USGS,7227900,62614,131778,2011,8,2845.213
USGS,7227900,62614,131778,2011,9,2844.112
USGS,7227900,62614,131778,2011,10,2843.633
USGS,7227900,62614,131778,2011,11,2843.31
USGS,7227900,62614,131778,2012,2,2843.118
USGS,7227900,62614,131778,2012,3,2842.961
USGS,7227900,62614,131778,2012,4,2843.724
USGS,7227900,62614,131778,2012,5,2844.454
USGS,7227900,62614,131778,2012,6,2844.258
USGS,7227900,62614,131778,2012,7,2843.823
USGS,7227900,62614,131778,2012,8,2843.051
USGS,7227900,62614,131778,2012,9,2842.58
USGS,7227900,62614,131778,2012,10,2842.216
USGS,7227900,62614,131778,2012,11,2841.874
USGS,7227900,62614,131778,2012,12,2841.613
USGS,7227900,62614,131778,2013,1,2841.537
USGS,7227900,62614,131778,2013,2,2841.442
USGS,7227900,62614,131778,2013,3,2841.365
USGS,7227900,62614,131778,2013,4,2841.015
USGS,7227900,62614,131778,2013,5,2840.534
USGS,7227900,62614,131778,2013,6,2840.081
USGS,7227900,62614,131778,2013,7,2839.568
USGS,7227900,62614,131778,2013,8,2840.56
USGS,7227900,62614,131778,2013,9,2842.819
USGS,7227900,62614,131778,2013,10,2846.741
USGS,7227900,62614,131778,2013,11,2846.786
USGS,7227900,62614,131778,2013,12,2846.862
USGS,7227900,62614,131778,2014,1,2847.074
USGS,7227900,62614,131778,2014,2,2847.235
USGS,7227900,62614,131778,2014,3,2847.335
USGS,7227900,62614,131778,2014,4,2847.11
USGS,7227900,62614,131778,2014,5,2846.729
USGS,7227900,62614,131778,2014,6,2850.441
USGS,7227900,62614,131778,2014,7,2854.677
USGS,7227900,62614,131778,2014,8,2856.76
USGS,7227900,62614,131778,2014,9,2857.357
USGS,7227900,62614,131778,2014,10,2857.809
USGS,7227900,62614,131778,2014,11,2857.652
USGS,7227900,62614,131778,2014,12,2857.583
USGS,7227900,62614,131778,2015,1,2857.665
USGS,7227900,62614,131778,2015,2,2858.031
USGS,7227900,62614,131778,2015,3,2858.23
USGS,7227900,62614,131778,2015,4,2858.128
USGS,7227900,62614,131778,2015,6,2864.954
USGS,7227900,62614,131778,2015,7,2868.306
USGS,7227900,62614,131778,2015,8,2873.003
USGS,7227900,62614,131778,2015,9,2873.736
USGS,7227900,62614,131778,2015,10,2874.418
USGS,7227900,62614,131778,2015,11,2877.049
USGS,7227900,62614,131778,2015,12,2877.545
USGS,7227900,62614,131778,2016,1,2877.99
USGS,7227900,62614,131778,2016,2,2878.223
USGS,7227900,62614,131778,2016,3,2878.359
USGS,7227900,62614,131778,2016,4,2878.312
USGS,7227900,62614,131778,2016,5,2878.502
USGS,7227900,62614,131778,2016,6,2878.613
USGS,7227900,62614,131778,2016,7,2877.867
USGS,7227900,62614,131778,2016,8,2876.952
USGS,7227900,62614,131778,2016,9,2876.797
USGS,7227900,62614,131778,2016,10,2876.322
USGS,7227900,62614,131778,2016,11,2875.942
USGS,7227900,62614,131778,2016,12,2875.661
USGS,7227900,62614,131778,2017,1,2875.762
USGS,7227900,62614,131778,2017,2,2876.135
USGS,7227900,62614,131778,2017,3,2876.153
USGS,7227900,62614,131778,2017,4,2876.694
USGS,7227900,62614,131778,2017,5,2877.033
USGS,7227900,62614,131778,2017,6,2876.732
USGS,7227900,62614,131778,2017,7,2876.415
USGS,7227900,62614,131778,2017,8,2878.295
USGS,7227900,62614,131778,2017,9,2881.289
USGS,7227900,62614,131778,2017,10,2885.478
USGS,7227900,62614,131778,2017,11,2888.603
USGS,7227900,62614,131778,2017,12,2888.934
USGS,7227900,62614,131778,2018,1,2888.917
USGS,7227900,62614,131778,2018,3,2888.77
USGS,7227900,62614,131778,2018,4,2888.435
USGS,7227900,62614,131778,2018,5,2888.191
USGS,7227900,62614,131778,2018,6,2887.94
USGS,7227900,62614,131778,2018,7,2887.299
USGS,7227900,62614,131778,2018,8,2886.562
USGS,7227900,62614,131778,2018,9,2886.067
USGS,7227900,62614,131778,2018,10,2886.506
USGS,7227900,62614,131778,2018,11,2887.177
USGS,7227900,62614,131778,2018,12,2887.153
USGS,7227900,62614,131778,2019,1,2887.199
USGS,7227900,62614,131778,2019,2,2887.224
USGS,7227900,62614,131778,2019,3,2887.335
USGS,7227900,62614,131778,2019,4,2887.529
USGS,7227900,62614,131778,2019,5,2888.374
USGS,7227900,62614,131778,2019,6,2889.834
USGS,7227900,62614,131778,2019,7,2889.739
USGS,7227900,62614,131778,2019,8,2889.111
USGS,7227900,62614,131778,2019,9,2888.59
USGS,7227900,62614,131778,2019,10,2889.403
USGS,7227900,62614,131778,2019,11,2889.478
USGS,7227900,62614,131778,2019,12,2889.557
USGS,7227900,62614,131778,2020,1,2889.705
USGS,7227900,62614,131778,2020,2,2889.739
USGS,7227900,62614,131778,2020,3,2889.873
USGS,7227900,62614,131778,2020,4,2889.869
USGS,8017400,62614,132500,1995,11,434.544
USGS,8017400,62614,132500,1995,12,434.071
USGS,8017400,62614,132500,1996,1,433.865
USGS,8017400,62614,132500,1996,2,433.47
USGS,8017400,62614,132500,1996,3,432.979
USGS,8017400,62614,132500,1996,4,432.8
USGS,8017400,62614,132500,2000,10,434.676
USGS,8017400,62614,132500,2000,11,436.529
USGS,8017400,62614,132500,2000,12,438.003
USGS,8017400,62614,132500,2001,1,438.555
USGS,8017400,62614,132500,2001,2,438.849
USGS,8017400,62614,132500,2001,3,439.153
USGS,8017400,62614,132500,2001,4,438.031
USGS,8017400,62614,132500,2001,5,437.441
USGS,8017400,62614,132500,2001,6,436.818
USGS,8017400,62614,132500,2001,7,436.089
USGS,8017400,62614,132500,2001,8,435.028
USGS,8017400,62614,132500,2001,9,435.23
USGS,8017400,62614,132500,2001,10,435.727
USGS,8017400,62614,132500,2001,11,435.799
USGS,8017400,62614,132500,2002,2,438.182
USGS,8017400,62614,132500,2002,3,437.751
USGS,8017400,62614,132500,2002,4,438.538
USGS,8017400,62614,132500,2002,5,438.065
USGS,8017400,62614,132500,2002,6,437.456
USGS,8017400,62614,132500,2002,7,437.183
USGS,8017400,62614,132500,2002,10,436.662
USGS,8017400,62614,132500,2002,11,437.56
USGS,8017400,62614,132500,2002,12,437.465
USGS,8017400,62614,132500,2003,1,437.706
USGS,8017400,62614,132500,2003,2,437.623
USGS,8017400,62614,132500,2003,3,437.997
USGS,8017400,62614,132500,2003,4,437.682
USGS,8017400,62614,132500,2003,5,437.421
USGS,8017400,62614,132500,2003,6,437.347
USGS,8017400,62614,132500,2003,7,436.973
USGS,8017400,62614,132500,2003,8,436.191
USGS,8017400,62614,132500,2003,9,435.683
USGS,8017400,62614,132500,2003,10,435.249
USGS,8017400,62614,132500,2003,11,434.946
USGS,8017400,62614,132500,2003,12,434.639
USGS,8017400,62614,132500,2004,1,434.555
USGS,8017400,62614,132500,2004,2,435.124
USGS,8017400,62614,132500,2004,3,436.219
USGS,8017400,62614,132500,2004,4,436.395
USGS,8017400,62614,132500,2004,5,437.117
USGS,8017400,62614,132500,2004,6,437.468
USGS,8017400,62614,132500,2004,7,437.416
USGS,8017400,62614,132500,2004,8,437.054
USGS,8017400,62614,132500,2004,9,436.677
USGS,8017400,62614,132500,2004,10,436.392
USGS,8017400,62614,132500,2004,11,436.723
USGS,8017400,62614,132500,2004,12,437.549
USGS,8017400,62614,132500,2005,1,437.926
USGS,8017400,62614,132500,2005,2,437.676
USGS,8017400,62614,132500,2005,3,437.385
USGS,8017400,62614,132500,2005,4,437.196
USGS,8017400,62614,132500,2005,5,436.471
USGS,8017400,62614,132500,2005,6,435.688
USGS,8017400,62614,132500,2005,7,434.638
USGS,8017400,62614,132500,2005,8,433.51
USGS,8017400,62614,132500,2005,9,432.422
USGS,8017400,62614,132500,2005,10,431.525
USGS,8017400,62614,132500,2005,11,430.654
USGS,8017400,62614,132500,2005,12,429.87
USGS,8017400,62614,132500,2006,1,429.232
USGS,8017400,62614,132500,2006,2,428.872
USGS,8017400,62614,132500,2006,3,430.211
USGS,8017400,62614,132500,2006,4,432.303
USGS,8017400,62614,132500,2006,5,431.939
USGS,8017400,62614,132500,2006,6,430.966
USGS,8017400,62614,132500,2006,7,429.757
USGS,8017400,62614,132500,2006,8,428.459
USGS,8017400,62614,132500,2006,9,427.327
USGS,8017400,62614,132500,2006,10,426.241
USGS,8017400,62614,132500,2006,11,425.747
USGS,8017400,62614,132500,2007,2,429.368
USGS,8017400,62614,132500,2007,3,429.327
USGS,8017400,62614,132500,2007,4,431.129
USGS,8017400,62614,132500,2007,5,431.148
USGS,8017400,62614,132500,2007,6,435.379
USGS,8017400,62614,132500,2007,7,438.913
USGS,8017400,62614,132500,2007,8,437.322
USGS,8017400,62614,132500,2007,9,436.845
USGS,8017400,62614,132500,2007,10,436.362
USGS,8017400,62614,132500,2007,11,435.847
USGS,8017400,62614,132500,2007,12,435.634
USGS,8017400,62614,132500,2008,5,437.817
USGS,8017400,62614,132500,2008,6,437.667
USGS,8017400,62614,132500,2008,7,436.869
USGS,8017400,62614,132500,2008,8,435.94
USGS,8017400,62614,132500,2008,9,435.274
USGS,8017400,62614,132500,2008,10,434.452
USGS,8017400,62614,132500,2008,11,433.675
USGS,8017400,62614,132500,2009,2,432.401
USGS,8017400,62614,132500,2009,3,432.761
USGS,8017400,62614,132500,2009,4,433.116
USGS,8017400,62614,132500,2009,5,437.366
USGS,8017400,62614,132500,2009,6,437.079
USGS,8017400,62614,132500,2009,7,436.079
USGS,8017400,62614,132500,2009,8,435.655
USGS,8017400,62614,132500,2009,10,438.317
USGS,8017400,62614,132500,2009,11,438.358
