agency_cd,site_no,river_name,site_heading,site_loc
USGS,7227500,Canadian River,Upstream,"Amarillo, TX"
USGS,7228000,Canadian River,Downstream,"Canadian, TX"
USGS,7297910,Red River,Upstream,"Wayside, TX"
USGS,7308500,Red River,Downstream,"Burkburnett, TX"
USGS,8017410,Sabine River,Upstream,"Wills Point, TX"
USGS,8030500,Sabine River,Downstream,"Ruliff, TX"
USGS,8032000,Neches River,Upstream,"Neches, TX"
USGS,8041000,Neches River,Downstream,"Evadale, TX"
USGS,8057410,Trinity River,Upstream,"Dallas, TX"
USGS,8067000,Trinity River,Downstream,"Liberty, TX"
USGS,8070000,San Jacinto River,Upstream,"Cleveland, TX"
USGS,8070200,San Jacinto River,Downstream,"New Caney, TX"
USGS,8088000,Brazos River,Upstream,"South Bend, TX"
USGS,8116650,Brazos River,Downstream,"Rosharon, TX"
USGS,8117995,Colorado River,Upstream,"Gail, TX"
USGS,8162500,Colorado River,Downstream,"Bay City, TX"
USGS,8165300,Guadalupe River,Upstream,"Hunt, TX"
USGS,8176500,Guadalupe River,Downstream,"Victoria, TX"
USGS,8178000,San Antonio River,Upstream,"San Antonio, TX"
USGS,8188500,San Antonio River,Downstream,"Goliad, TX"
USGS,8190000,Nueces River,Upstream,"Laguna, TX"
USGS,8211200,Nueces River,Downstream,"Bluntzer, TX"
USGS,8412500,Pecos River,Upstream,"Orla, TX"
USGS,8446500,Pecos River,Downstream,"Girvin, TX"
