************ USE OF ESRL GMD DATA ****************
 
These data are made freely available to the public and the
scientific community in the belief that their wide dissemination
will lead to greater understanding and new scientific insights.
The availability of these data does not constitute publication
of the data.  We rely on the ethics and integrity of the user to
assure that GMD receives fair credit for our work.  If the data
are obtained for potential use in a publication or presentation,
GMD should be informed at the outset of the nature of this work.
If the GMD data are essential to the work, or if an important
result or conclusion depends on the GMD data, co-authorship may
be appropriate.  This should be discussed at an early stage in
the work.  Manuscripts using the GMD data should be sent to GMD
for review before they are submitted for publication so we can
insure that the quality and limitations of the data are accurately
represented. 

Contact:   Paul Novelli (303 497 6974; paul.c.novelli@noaa.gov)

File Creation:  Mon Nov 27 12:39:15 2006

 **************** RECIPROCITY AGREEMENT ****************
 
Use of these data implies an agreement to reciprocate.
Laboratories making similar measurements agree to make their
own data available to the general public and to the scientific
community in an equally complete and easily accessible form.
Modelers are encouraged to make available to the community,
upon request, their own tools used in the interpretation
of the GMD data, namely well documented model code, transport
fields, and additional information necessary for other
scientists to repeat the work and to run modified versions.
Model availability includes collaborative support for new
users of the models.
 
***********************************************************
 
 
 
BRW 1989  1   485.40
BRW 1989  2   489.18
BRW 1989  3   506.12
BRW 1989  4   544.74
BRW 1989  5   556.36
BRW 1989  6   547.25
BRW 1989  7   524.50
BRW 1989  8   501.11
BRW 1989  9   498.91
BRW 1989 10   495.06
BRW 1989 11   488.55
BRW 1989 12   506.15
BRW 1990  1   537.67
BRW 1990  2   540.52
BRW 1990  3   533.72
BRW 1990  4   536.22
BRW 1990  5   532.39
BRW 1990  6   516.93
BRW 1990  7   510.53
BRW 1990  8   496.65
BRW 1990  9   470.03
BRW 1990 10   460.63
BRW 1990 11   463.86
BRW 1990 12   487.75
BRW 1991  1   515.15
BRW 1991  2   524.55
BRW 1991  3   535.04
BRW 1991  4   541.26
BRW 1991  5   537.42
BRW 1991  6   528.92
BRW 1991  7   511.57
BRW 1991  8   490.80
BRW 1991  9   467.72
BRW 1991 10   462.00
BRW 1991 11   476.12
BRW 1991 12   494.80
BRW 1992  1   508.37
BRW 1992  2   519.28
BRW 1992  3   533.26
BRW 1992  4   538.46
BRW 1992  5   530.13
BRW 1992  6   513.96
BRW 1992  7   501.93
BRW 1992  8   479.25
BRW 1992  9   456.19
BRW 1992 10   455.30
BRW 1992 11   462.39
BRW 1992 12   476.65
BRW 1993  1   497.22
BRW 1993  2   513.38
BRW 1993  3   521.09
BRW 1993  4   525.48
BRW 1993  5   527.36
BRW 1993  6   512.87
BRW 1993  7   492.61
BRW 1993  8   473.01
BRW 1993  9   459.67
BRW 1993 10   459.82
BRW 1993 11   463.36
BRW 1993 12   476.37
BRW 1994  1   495.32
BRW 1994  2   505.14
BRW 1994  3   513.98
BRW 1994  4   521.36
BRW 1994  5   522.33
BRW 1994  6   513.55
BRW 1994  7   485.67
BRW 1994  8   468.82
BRW 1994  9   465.75
BRW 1994 10   455.41
BRW 1994 11   459.88
BRW 1994 12   472.58
BRW 1995  1   485.74
BRW 1995  2   498.02
BRW 1995  3   508.35
BRW 1995  4   514.16
BRW 1995  5   513.98
BRW 1995  6   508.80
BRW 1995  7   488.80
BRW 1995  8   473.72
BRW 1995  9   466.60
