East N Pacific Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.55
1911,-0.01
1912,-0.27
1913,-0.64
1914,-0.22
1915,-0.22
1916,-0.80
1917,-1.00
1918,-0.02
1919,-0.08
1920,-0.25
1921,-0.36
1922,-0.22
1923,-0.15
1924,-0.44
1925,-0.31
1926,-0.03
1927,-0.22
1928,-0.08
1929,-0.42
1930,0.12
1931,0.00
1932,-0.37
1933,-0.63
1934,-0.04
1935,-0.03
1936,0.21
1937,0.26
1938,0.01
1939,0.15
1940,0.55
1941,0.80
1942,0.24
1943,0.12
1944,-0.06
1945,-0.13
1946,-0.24
1947,-0.36
1948,-0.48
1949,-0.21
1950,-0.15
1951,-0.04
1952,0.18
1953,0.12
1954,0.06
1955,-0.44
1956,-0.30
1957,0.46
1958,0.69
1959,0.74
1960,0.04
1961,-0.08
1962,-0.09
1963,0.23
1964,-0.23
1965,-0.11
1966,0.14
1967,0.06
1968,-0.01
1969,0.05
1970,-0.17
1971,-0.56
1972,0.12
1973,-0.22
1974,-0.27
1975,-0.64
1976,-0.02
1977,0.27
1978,0.38
1979,0.07
1980,0.24
1981,0.26
1982,0.41
1983,0.36
1984,0.24
1985,0.11
1986,0.29
1987,0.34
1988,0.04
1989,-0.01
1990,0.50
1991,0.30
1992,0.59
1993,0.58
1994,0.56
1995,0.41
1996,0.28
1997,0.65
1998,0.31
1999,-0.28
2000,-0.04
2001,0.17
2002,0.18
2003,0.46
2004,0.43
2005,0.19
2006,0.37
2007,0.08
2008,0.09
2009,0.72
2010,0.00
2011,-0.23
2012,0.19
2013,0.37
2014,0.98
2015,1.46
2016,1.03
2017,0.78
2018,0.87
2019,0.74
