Hawaiian Region Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-0.83
1911,-0.77
1912,-0.37
1913,-0.43
1914,-0.29
1915,-0.14
1916,-0.49
1917,-0.51
1918,-0.29
1919,-0.55
1920,-0.24
1921,-0.41
1922,-0.51
1923,-0.25
1924,-0.30
1925,-0.39
1926,0.19
1927,-0.05
1928,-0.13
1929,0.03
1930,0.05
1931,0.01
1932,-0.47
1933,-0.85
1934,0.16
1935,0.05
1936,0.23
1937,0.02
1938,0.34
1939,-0.28
1940,0.87
1941,0.85
1942,0.34
1943,0.48
1944,0.11
1945,0.30
1946,0.21
1947,0.38
1948,-0.25
1949,-0.66
1950,-0.29
1951,0.07
1952,-0.29
1953,-0.17
1954,0.11
1955,-0.68
1956,-0.18
1957,0.15
1958,0.21
1959,0.41
1960,0.21
1961,0.29
1962,0.05
1963,0.25
1964,-0.03
1965,0.08
1966,0.31
1967,0.49
1968,0.91
1969,0.27
1970,0.06
1971,-0.32
1972,-0.25
1973,-0.33
1974,0.13
1975,-0.65
1976,-0.40
1977,-0.04
1978,0.08
1979,0.04
1980,0.34
1981,0.39
1982,0.36
1983,-0.07
1984,0.31
1985,-0.01
1986,0.63
1987,0.31
1988,0.43
1989,0.28
1990,0.22
1991,0.20
1992,0.36
1993,0.16
1994,0.16
1995,0.35
1996,0.64
1997,0.39
1998,-0.32
1999,-0.57
2000,-0.19
2001,-0.10
2002,0.10
2003,0.38
2004,0.66
2005,0.41
2006,0.32
2007,0.18
2008,-0.13
2009,0.12
2010,0.01
2011,0.01
2012,-0.23
2013,0.24
2014,0.70
2015,1.13
2016,0.85
2017,0.89
2018,0.88
2019,1.03
