Northern Hemisphere Ocean Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.02
1881,-0.02
1882,-0.03
1883,-0.08
1884,-0.16
1885,-0.14
1886,-0.17
1887,-0.21
1888,0.07
1889,0.00
1890,-0.31
1891,-0.13
1892,-0.32
1893,-0.38
1894,-0.38
1895,-0.19
1896,-0.01
1897,-0.02
1898,-0.18
1899,-0.15
1900,0.00
1901,-0.11
1902,-0.23
1903,-0.37
1904,-0.52
1905,-0.29
1906,-0.25
1907,-0.35
1908,-0.47
1909,-0.47
1910,-0.45
1911,-0.42
1912,-0.35
1913,-0.42
1914,-0.25
1915,-0.10
1916,-0.29
1917,-0.37
1918,-0.29
1919,-0.27
1920,-0.25
1921,-0.15
1922,-0.23
1923,-0.23
1924,-0.20
1925,-0.17
1926,0.00
1927,-0.08
1928,-0.15
1929,-0.20
1930,0.00
1931,0.00
1932,-0.11
1933,-0.17
1934,-0.09
1935,-0.06
1936,0.02
1937,0.15
1938,-0.02
1939,-0.01
1940,0.19
1941,0.35
1942,0.15
1943,0.11
1944,0.30
1945,0.30
1946,0.08
1947,0.00
1948,-0.02
1949,-0.02
1950,-0.01
1951,0.17
1952,0.15
1953,0.19
1954,0.04
1955,-0.05
1956,-0.06
1957,0.17
1958,0.23
1959,0.18
1960,0.15
1961,0.14
1962,0.12
1963,0.16
1964,-0.07
1965,-0.05
1966,0.11
1967,0.10
1968,0.06
1969,0.16
1970,0.03
1971,-0.17
1972,-0.03
1973,0.02
1974,-0.13
1975,-0.13
1976,-0.13
1977,0.11
1978,0.06
1979,0.14
1980,0.17
1981,0.21
1982,0.14
1983,0.16
1984,0.07
1985,0.03
1986,0.11
1987,0.25
1988,0.25
1989,0.21
1990,0.36
1991,0.31
1992,0.13
1993,0.16
1994,0.29
1995,0.39
1996,0.28
1997,0.46
1998,0.52
1999,0.28
2000,0.35
2001,0.45
2002,0.47
2003,0.57
2004,0.56
2005,0.61
2006,0.58
2007,0.49
2008,0.46
2009,0.57
2010,0.63
2011,0.49
2012,0.57
2013,0.61
2014,0.77
2015,0.90
2016,0.93
2017,0.87
2018,0.82
2019,0.95
